"","income","age","marital_status","hours_per_week","education","capital_gain","capital_loss","income_num","career_stage","marital_status_group","hours_group","education_group","has_investment_activity"
"1","<=50K",50,"Married-civ-spouse",13,"Bachelors",0,0,"0","Peak-earning","Married","Underemployed","Bachelors","No"
"3","<=50K",53,"Married-civ-spouse",40,"11th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"6","<=50K",49,"Married-spouse-absent",16,"9th",0,0,"0","Peak-earning","Previously-married","Underemployed","Non-HS","No"
"13","<=50K",32,"Never-married",50,"Assoc-acdm",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"18","<=50K",38,"Married-civ-spouse",50,"11th",0,0,"0","Growth-phase","Married","Overtime","Non-HS","No"
"20",">50K",40,"Married-civ-spouse",60,"Doctorate",0,0,"1","Growth-phase","Married","Overtime","Prof-doctorate","No"
"33","<=50K",30,"Married-civ-spouse",40,"Some-college",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"36","<=50K",21,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"45",">50K",57,"Married-civ-spouse",40,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"54","<=50K",47,"Divorced",60,"HS-grad",0,0,"0","Peak-earning","Previously-married","Overtime","HS-some-college","No"
"55",">50K",43,"Married-civ-spouse",40,"Some-college",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"72",">50K",29,"Married-civ-spouse",70,"Bachelors",0,0,"1","Entry-level","Married","Overtime","Bachelors","No"
"73","<=50K",23,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"78","<=50K",18,"Never-married",22,"11th",0,0,"0","Entry-level","Never-married","Underemployed","Non-HS","No"
"81","<=50K",52,"Married-civ-spouse",40,"Bachelors",0,0,"0","Peak-earning","Married","Full-time","Bachelors","No"
"84",">50K",44,"Divorced",40,"HS-grad",14344,0,"1","Growth-phase","Previously-married","Full-time","HS-some-college","Yes"
"85","<=50K",53,"Divorced",35,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"90","<=50K",57,"Married-civ-spouse",40,"Assoc-voc",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"92","<=50K",28,"Divorced",25,"Some-college",0,0,"0","Entry-level","Previously-married","Underemployed","HS-some-college","No"
"95","<=50K",29,"Never-married",50,"Some-college",0,0,"0","Entry-level","Never-married","Overtime","HS-some-college","No"
"96",">50K",48,"Married-civ-spouse",60,"Doctorate",0,1902,"1","Peak-earning","Married","Overtime","Prof-doctorate","Yes"
"97",">50K",37,"Married-civ-spouse",48,"Some-college",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"99","<=50K",32,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"101",">50K",44,"Married-civ-spouse",60,"Bachelors",15024,0,"1","Growth-phase","Married","Overtime","Bachelors","Yes"
"120","<=50K",21,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"121","<=50K",40,"Married-civ-spouse",60,"Bachelors",0,0,"0","Growth-phase","Married","Overtime","Bachelors","No"
"124","<=50K",19,"Never-married",35,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"125",">50K",47,"Married-civ-spouse",40,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"135",">50K",38,"Married-civ-spouse",40,"Masters",0,0,"1","Growth-phase","Married","Full-time","Masters","No"
"140","<=50K",61,"Married-civ-spouse",40,"HS-grad",0,0,"0","Retirement-transition","Married","Full-time","HS-some-college","No"
"149","<=50K",43,"Divorced",40,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
